	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 42164.000000;	 19;	 10;		 16;	 4.465000; 
	 43980.000000;	 19;	 10;		 17;	 4.610000; 
	 42865.000000;	 19;	 10;		 18;	 4.292000; 
	 39956.000000;	 19;	 10;		 19;	 5.032000; 
	 34833.000000;	 20;	 10;		 2;	 4.849000; 
	 35189.000000;	 20;	 10;		 3;	 4.861000; 
	 43140.000000;	 20;	 10;		 4;	 4.854000; 
	 42467.000000;	 20;	 10;		 5;	 4.802000; 
	 36255.000000;	 20;	 10;		 6;	 4.876000; 
	 39165.000000;	 20;	 10;		 7;	 4.837000; 
	 40785.000000;	 20;	 10;		 8;	 4.800000; 
	 40838.000000;	 20;	 10;		 9;	 4.815000; 
	 35770.000000;	 20;	 10;		 10;	 4.771000; 
	 42170.000000;	 20;	 10;		 11;	 4.872000; 
	 41448.000000;	 20;	 10;		 12;	 4.838000; 
	 41565.000000;	 20;	 10;		 13;	 4.768000; 
	 45466.000000;	 20;	 10;		 14;	 4.871000; 
	 43596.000000;	 20;	 10;		 15;	 4.775000; 
	 42190.000000;	 20;	 10;		 16;	 4.785000; 
	 38285.000000;	 20;	 10;		 17;	 4.778000; 
	 43670.000000;	 20;	 10;		 18;	 4.763000; 
	 41032.000000;	 20;	 10;		 19;	 4.719000; 
	 43199.000000;	 20;	 10;		 20;	 4.744000; 
	 39634.000000;	 21;	 10;		 2;	 4.941000; 
	 35877.000000;	 21;	 10;		 3;	 4.799000; 
	 35288.000000;	 21;	 10;		 4;	 5.116000; 
	 37923.000000;	 21;	 10;		 5;	 5.139000; 
	 43681.000000;	 21;	 10;		 6;	 5.182000; 
	 39606.000000;	 21;	 10;		 7;	 5.125000; 
	 37371.000000;	 21;	 10;		 8;	 4.990000; 
	 39841.000000;	 21;	 10;		 9;	 5.075000; 
	 42012.000000;	 21;	 10;		 10;	 5.162000; 
	 41380.000000;	 21;	 10;		 11;	 5.143000; 
	 37592.000000;	 21;	 10;		 12;	 5.014000; 
	 42327.000000;	 21;	 10;		 13;	 5.020000; 
	 40769.000000;	 21;	 10;		 14;	 5.040000; 
	 42654.000000;	 21;	 10;		 15;	 5.199000; 
	 38304.000000;	 21;	 10;		 16;	 5.125000; 
	 43491.000000;	 21;	 10;		 17;	 4.795000; 
	 43326.000000;	 21;	 10;		 18;	 5.079000; 
	 40807.000000;	 21;	 10;		 19;	 5.070000; 
	 39678.000000;	 21;	 10;		 20;	 4.909000; 
	 36414.000000;	 21;	 10;		 21;	 4.994000; 
	 29186.000000;	 22;	 10;		 2;	 5.268000; 
